Ticker,Name,PortfolioAction,Action,ScreenerAction,Reco,Score,YieldPct,DivGrowth5YPct,UpsideBestPct,Country,Sector,Industry,Weight,OwnedValue,OwnedShares,Price
KMB,Kimberly-Clark Corporation,HOLD,HOLD,HOLD,WATCH,1.752,5.10%,3.3%,0.1%,United States,Consumer Defensive,Household & Personal Products,0,0,0,98.73
MCD,McDonald's Corporation,HOLD,HOLD,HOLD,WATCH,1.752,2.40%,7.3%,0.2%,United States,Consumer Cyclical,Restaurants,0,0,0,309.44
CL,Colgate-Palmolive Company,HOLD,HOLD,HOLD,WATCH,1.746,2.51%,3.3%,-0.1%,United States,Consumer Defensive,Household & Personal Products,0,0,0,82.96
O,Realty Income Corporation,HOLD,HOLD,HOLD,WATCH,1.722,5.44%,5.1%,17.5%,United States,Real Estate,REIT - Retail,0,0,0,59.23
XOM,Exxon Mobil Corporation,HOLD,HOLD,HOLD,WATCH,1.709,3.26%,2.8%,-0.1%,United States,Energy,Oil & Gas Integrated,0,0,0,126.54
QCOM,QUALCOMM Incorporated,HOLD,HOLD,HOLD,WATCH,1.691,2.15%,6.5%,0.2%,United States,Technology,Semiconductors,0,0,0,165.29
CLX,Clorox Company (The),HOLD,HOLD,HOLD,WATCH,1.689,4.56%,2.5%,-0.1%,United States,Consumer Defensive,Household & Personal Products,0,0,0,108.86
LMT,Lockheed Martin Corporation,HOLD,HOLD,HOLD,WATCH,1.68,2.47%,6.4%,0.1%,United States,Industrials,Aerospace & Defense,0,0,0,558.3
ED,"Consolidated Edison, Inc.",HOLD,HOLD,HOLD,WATCH,1.662,3.39%,2.1%,0.1%,United States,Utilities,Utilities - Regulated Electric,0,0,0,100.21
GN.CO,GN Store Nord A/S,HOLD,HOLD,HOLD,WATCH,1.661,nan%,6.2%,nan%,Denmark,Healthcare,Medical Devices,0,0,0,118.2
BDX,"Becton, Dickinson and Company",HOLD,HOLD,HOLD,WATCH,1.652,2.08%,6.0%,0.2%,United States,Healthcare,Medical Instruments & Supplies,0,0,0,201.52
LANC,Lancaster Colony Corporation,HOLD,HOLD,HOLD,WATCH,1.606,2.11%,nan%,4.2%,United States,Consumer Defensive,Packaged Foods,0,0,0,172.77
ABBV,AbbVie Inc.,HOLD,HOLD,HOLD,WATCH,1.53,3.13%,6.8%,4.8%,United States,Healthcare,Drug Manufacturers - General,0,0,0,220.75
CHD,"Church & Dwight Company, Inc.",HOLD,HOLD,HOLD,WATCH,1.519,1.34%,4.2%,0.1%,United States,Consumer Defensive,Household & Personal Products,0,0,0,87.97
DANSKE.CO,Danske Bank A/S,HOLD,HOLD,HOLD,WATCH,1.502,5.85%,nan%,0.1%,Denmark,Financial Services,Banks - Regional,0,0,0,319.4
NZYM-B.CO,,HOLD,HOLD,HOLD,WATCH,1.5,nan%,nan%,nan%,US,,,0,0,0,
SPNO.CO,,HOLD,HOLD,HOLD,WATCH,1.5,nan%,nan%,nan%,,,,0,0,0,
TOP.CO,,HOLD,HOLD,HOLD,WATCH,1.5,nan%,nan%,nan%,US,,,0,0,0,
WBA,,HOLD,HOLD,HOLD,WATCH,1.5,nan%,nan%,nan%,,,,0,0,0,
SYDB.CO,Sydbank A/S,HOLD,HOLD,HOLD,WATCH,1.498,4.83%,nan%,-0.1%,Denmark,Financial Services,Banks - Regional,0,0,0,557.0
NDA-DK.CO,Nordea Bank Abp,HOLD,HOLD,HOLD,WATCH,1.497,5.66%,nan%,-0.1%,Finland,Financial Services,Banks - Regional,0,0,0,124.0
BEN,"Franklin Resources, Inc.",HOLD,HOLD,HOLD,WATCH,1.458,5.22%,3.4%,0.0%,United States,Financial Services,Asset Management,0,0,0,25.28
